,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon
0,0,Queens Road,1675000,House,2716,5,5,5,Wimbledon,London,SW19 8NY,51.4247725,-0.1894494
1,1,Seward Street,650000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA,51.52640599999999,-0.09782669999999999
2,2,Hotham Road,735000,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL,51.46507,-0.2236175
3,3,Festing Road,1765000,House,1986,4,4,4,Putney,London,SW15 1LP,51.4691001,-0.2225251
4,4,Spencer Walk,675000,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL,51.4632986,-0.2221442
5,5,Craven Hill Gardens,420000,Flat / Apartment,403,1,1,1,,London,W2 3EA,51.5130183,-0.1824942
6,6,Alfriston Road,1475000,House,1548,4,4,4,,London,SW11 6NW,51.4571936,-0.1595361
7,7,Bishops Gate,650000,New development,560,1,1,1, Fulham,London,SW6 3LF,51.4698561,-0.2107322
8,8,Adam & Eve Mews,2500000,House,1308,3,3,3,,London,W8 6UG,51.4994239,-0.1943022
9,9,Hornton Street,925000,Flat / Apartment,646,2,2,2,,London,W8 4NT,51.5024467,-0.1943844
10,10,Drakefield Road,2400000,House,3392,6,6,6,,London,SW17 8RR,51.4347115,-0.1538069
11,11,Cromwell Avenue,2500000,House,2974,6,6,6,Highgate,London,N6 5HQ,51.5702659,-0.141769
12,12,Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER,51.3821635,-0.4212792
13,13,Grove End House,725000,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP,51.5279538,-0.1748781
14,14,Abercorn Mansions,750000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY,51.5326505,-0.1808324
15,15,Chester Terrace,12500000,House,4596,6,6,6,Regents Park,London,NW1 4ND,51.5290806,-0.1452345
16,16,Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF,51.4535187,-0.3122096
17,17,Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW,51.2999583,-0.1684132
18,18,Elsworthy Rise,2275000,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS,51.5413854,-0.1637122
19,19,St. Anns Road,1075000,Duplex,865,2,2,2,,Holland Park,W11 4SR,51.50822489999999,-0.2152673
20,20,Clapham Road,500000,Flat / Apartment,597,1,1,1,,London,SW9 9BT,51.4665646,-0.1283341
21,21,Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA,51.5212809,-0.1473246
22,22,The Draycott,8950000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA,51.4917035,-0.1627283
23,23,Campden Hill Gardens,1175000,Flat / Apartment,765,2,2,2,,London,W8 7AX,51.5074988,-0.1995308
24,24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT,51.541815,-0.105332
25,25,St Mary's Grove,1300000,House,1101,3,3,3, Islington,London,N1 2NT,51.5453379,-0.0979743
26,26,Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR,51.541808,-0.1833513
27,27,Upper Park Road,3500000,House,2331,4,4,4,Belsize Park,London,NW3 2UP,51.5492899,-0.1608408
28,28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN,51.3764704,-0.3552103
29,29,Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW,51.3886884,-0.3063748000000001
30,30,Wetherby House,1100000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP,51.4923602,-0.1841086
31,31,Fernside Road,1200000,House,1494,4,4,4,,London,SW12 8LJ,51.4460199,-0.1598125
32,32,Telford Avenue,1250000,House,1507,4,4,4,,London,SW2 4XF,51.4419202,-0.1297588
33,33,Telford Avenue,695000,Flat / Apartment,945,3,3,3,,London,SW2 4XQ,51.4414516,-0.1342099
34,34,Stile Hall Gardens,1735000,House,2118,4,4,4,Chiswick,London,W4 3BS,51.4894567,-0.284552
35,35,Wavendon Avenue,2350000,House,2297,5,5,5,Chiswick,London,W4 4NR,51.4892811,-0.264666
36,36,Duke Road,1200000,House,1351,4,4,4,Chiswick,London,W4 2BA,51.4915139,-0.259381
37,37,Hobury Street,975000,Flat / Apartment,749,2,2,2,,London,SW10 0JB,51.4832974,-0.1795861
38,38,Maltings Close,850000,House,1177,3,3,3,Barnes,London,SW13 0NL,51.4726422,-0.2523811
39,39,Munster Road,1599950,House,1884,4,4,4,Fulham,London,SW6 5RF,51.4752655,-0.2086917
40,40,Khyber Road,925000,Flat / Apartment,1321,2,2,2,,London,SW11 2PZ,51.4692188,-0.1700097
41,41,Coles Court,650000,Flat / Apartment,869,3,3,3,,Battersea,SW11 3DU,51.47318989999999,-0.1726588
42,42,Prince Of Wales Mansions,550000,Flat / Apartment,670,1,1,1,,London,SW11 4BG,51.4754239,-0.1571424
43,43,Old Battersea House,9975000,House,10100,10,10,10, Battersea,London,SW11 3LD,51.4743145,-0.1761563
44,44,Kersley Street,1850000,House,1910,5,5,5,,London,SW11 4PT,51.4727949,-0.1640637
45,45,Battersea Bridge Road,525000,New development,590,1,1,1,,London,SW11 3AU,51.478204,-0.1695351
46,46,Larkhall Rise,2200000,House,2239,4,4,4,,London,SW4 6HS,51.468036,-0.1371575
47,47,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU,51.37929099999999,-0.4223264
48,48,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ,51.4948622,-0.1400551
49,49,Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF,51.5378894,-0.04859289999999999
50,50,Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD,51.5279848,-0.1739831
51,51,Eaton Square,5250000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF,51.4957651,-0.1505209
52,52,Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ,51.5788297,-0.1222021
53,53,"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS,51.5558913,-0.0577192
54,54,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,51.4804912,-0.1871004
55,55,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,51.4757671,-0.1655141
56,56,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,51.4730393,-0.2404433
57,57,Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,51.4755103,-0.1801983
58,58,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,51.5119816,-0.1933875
59,59,Harbut Road,735000,Flat / Apartment,969,2,2,2,,London,SW11 2RE,51.4624778,-0.1771606
60,60,Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,51.4290825,-0.1618596
61,61,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD,51.42893960000001,-0.1334536
62,62,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG,51.5053755,-0.2343707
63,63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL,51.633804,-0.4156925
64,64,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF,51.6108963,-0.4120855
65,65,St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ,51.5269194,-0.0357122
66,66,Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG,51.5281497,-0.1449408
67,67,Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX,51.5546073,-0.142739
68,68,Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR,51.6046118,-0.4383557
69,69,Queens Grove,7500000,House,3851,6,6,6,St John's Wood,London,NW8 6EN,51.537356,-0.1746172
70,70,Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL,51.4605489,-0.2255492
71,71,The Chase,480000,Flat / Apartment,448,1,1,1,,London,SW4 0NP,51.4640618,-0.1468355
72,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB,51.520077,-0.1468257
73,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX,51.5224586,-0.1455902
74,74,Ternary Place,650000,New development,1023,2,2,2, Ealing,London,W5 3HJ,51.5160765,-0.2908447
75,75,Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ,51.3833103,-0.3453748
76,76,Lysias Road,1300000,House,1890,5,5,5,,London,SW12 8BW,51.4506633,-0.1514364
77,77,Prince Henry Road,625000,House,1348,4,4,4,Kidbrooke,London,SE7 8PP,51.4761454,0.0401557
78,78,Kirby Street,625000,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE,51.5199258,-0.107495
79,79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN,51.4967412,-0.1315361
80,80,Walton Street,5950000,House,2646,4,4,4,,London,SW3 1RE,51.4975503,-0.1634007
81,81,Chatto Road,1325000,House,1375,4,4,4,,London,SW11 6LL,51.4557139,-0.1603728
82,82,Redcliffe Square,1250000,Flat / Apartment,1068,2,2,2,,London,SW10 9JY,51.48862219999999,-0.188953
83,83,Elm Park Lane,2300000,House,1119,3,3,3,,London,SW3 6DB,51.4866953,-0.1777656
84,84,Fassett Square,1500000,House,1811,4,4,4,Hackney,London,E8 1DQ,51.5468553,-0.06543059999999999
85,85,Haverhill Road,1350000,House,1603,5,5,5,,London,SW12 0HD,51.4438075,-0.1415537
86,86,Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL,51.4984653,-0.0196184
87,87,St. Stephens Crescent,795000,Flat / Apartment,495,1,1,1,,London,W2 5QT,51.5180701,-0.1945879
88,88,West Grove,525000,House,829,2,2,2,Woodford Green,Essex,IG8 7NP,51.6104353,0.0416365
89,89,Ackmar Road,2595000,House,2120,5,5,5,Fulham,London,SW6 4UP,51.4748538,-0.1994198
90,90,Romney House,820000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS,51.4959736,-0.1285132
