,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon,geometry,index_right,objectid,LSOA Code,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
0,Queens Road,1675000,House,2716,5,5,5,Wimbledon,London,SW19 8NY,51.4247725,-0.1894494,POINT (525977.7253371222 171083.9861804626),3380,3381,E01003454,Merton 003B,Merton 003B,155356.597135,2814.047004,1.0059084194977843,1.0014771048744462,1.000738552437223,1.000738552437223,0.0,1.0081240768094535,1.0014771048744462,1.0103397341211227,1.0036927621861151,1.0140324963072378
1,Seward Street,650000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA,51.52640599999999,-0.09782669999999999,POINT (532053.8081961875 182547.2550209807),2642,2643,E01002703,Islington 023C,Islington 023C,85878.188388,1628.73161,1.0079710144927536,1.0105072463768117,1.0036231884057971,1.0003623188405797,1.001086956521739,1.0119565217391304,1.0028985507246377,1.0257246376811595,1.0108695652173914,1.0358695652173913
2,Hotham Road,735000,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL,51.46507,-0.2236175,POINT (523493.6432468098 175507.0760789114),4493,4494,E01004607,Wandsworth 006D,Wandsworth 006D,172394.347208,2263.447095,1.003899721448468,1.0133704735376046,1.0011142061281337,0.0,0.0,1.004456824512535,1.0022284122562675,1.0133704735376046,1.0206128133704735,1.0167130919220055
3,Festing Road,1765000,House,1986,4,4,4,Putney,London,SW15 1LP,51.4691001,-0.2225251,POINT (523558.644130048 175957.0805499421),4491,4492,E01004605,Wandsworth 006B,Wandsworth 006B,193093.697924,2967.511632,1.0034188034188034,1.0074074074074073,1.005128205128205,1.0011396011396012,0.0,1.0045584045584046,1.002849002849003,1.0182336182336182,1.0182336182336182,1.0296296296296297
4,Spencer Walk,675000,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL,51.4632986,-0.2221442,POINT (523600.7612398757 175312.5726323986),4493,4494,E01004607,Wandsworth 006D,Wandsworth 006D,172394.347208,2263.447095,1.003899721448468,1.0133704735376046,1.0011142061281337,0.0,0.0,1.004456824512535,1.0022284122562675,1.0133704735376046,1.0206128133704735,1.0167130919220055
5,Craven Hill Gardens,420000,Flat / Apartment,403,1,1,1,,London,W2 3EA,51.5130183,-0.1824942,POINT (526217.7020342702 180909.2009107048),4580,4581,E01004700,Westminster 016E,Westminster 016E,57152.856822,1155.701627,1.0068430656934306,1.0177919708029197,1.0059306569343065,1.0018248175182483,1.000456204379562,1.0118613138686132,1.0041058394160585,1.02007299270073,1.011405109489051,1.0369525547445255
6,Alfriston Road,1475000,House,1548,4,4,4,,London,SW11 6NW,51.4571936,-0.1595361,POINT (527966.7558234365 174741.1109894222),4444,4445,E01004555,Wandsworth 017E,Wandsworth 017E,139179.381878,1891.466276,1.006145251396648,1.0089385474860335,1.0022346368715085,0.0,0.0,1.0027932960893855,1.0011173184357542,1.0150837988826815,1.018435754189944,1.0100558659217878
7,Bishops Gate,650000,New development,560,1,1,1, Fulham,London,SW6 3LF,51.4698561,-0.2107322,POINT (524375.656490018 176061.0973207972),1868,1869,E01001915,Hammersmith and Fulham 024A,Hammersmith and Fulham 024A,411774.307481,4028.165616,1.0108958837772397,1.0163438256658595,1.0217917675544794,1.0036319612590798,1.0006053268765134,1.0108958837772397,1.011501210653753,1.049636803874092,1.0326876513317191,1.023002421307506
8,Adam & Eve Mews,2500000,House,1308,3,3,3,,London,W8 6UG,51.4994239,-0.1943022,POINT (525435.6739057039 179377.1634128729),2751,2752,E01002816,Kensington and Chelsea 011C,Kensington and Chelsea 011C,59553.962391,1106.344062,1.0074982958418541,1.0211315610088616,1.0040899795501022,1.0006816632583504,1.0006816632583504,1.010906612133606,1.0020449897750512,1.0429447852760736,1.0068166325835037,1.030674846625767
9,Hornton Street,925000,Flat / Apartment,646,2,2,2,,London,W8 4NT,51.5024467,-0.1943844,POINT (525421.6765500298 179713.1708512381),2760,2761,E01002825,Kensington and Chelsea 008B,Kensington and Chelsea 008B,191821.934,2990.691095,1.0054372451291347,1.010421386497508,1.0036248300860897,1.0004531037607611,0.0,1.0031717263253286,1.0013593112822836,1.033982782057091,1.0176710466696874,1.0240144993203444
